page	col	note_no	note_text	anchor_words	anchor_in_our_latin
639	1265	55	F. *simul nardo*.	ut se aliis in alta virtutibus extollant; et sin cum nardo (55) quæ humilis est, et herba redolens	yes
639	1266	56	F. *astiterat*.	et Deo locutus est tempore quo nullus restiterat (56) homo; magno in prophetas	yes
641	1269	57	F. *ut*.	Unde et (57) eumdem locum quietis esse, et non operationis laboriosæ demonstret	yes
641	1270	58	Forte : *Conficit et pluviæ quemdam sic efficit imbrem.*	Efficit, et pluviæ quamdam sic efficit umbram (58).	yes
642	1272	60	F. *discretionis*	Quo in loco virtutem « discerptionis » (60) aperit : per digitos enim, discretio demonstratur	yes
643	1273	61	F. *quod*.	quia (61) post digiti tactu tangitur, id certa quadam ratione mentis intelligitur	yes
643	1274	62	F. add. *credentibus*.	ipsum morti datum, ac in sepulcro repositum, suscitantem, et hanc resurrectionem suis in se (62) in æterna vita repromittentem	yes
644	1275	62*	F. add. *una cum*.	Omnes enim electæ animæ hunc quærunt; ejus præsentiæ (62*) suis suscitatæ corporibus assistere cupiunt	yes
645	1277	63	F. *binario*.	Hæc Dilecti descriptio est, quam sub (63) duodenario comprehendit numero	yes
646	1279	64	F. *spr*   [TRUNCATED ON THE PLATE — not illegible; confirmed in both copies]	et illis peccantibus, et pari cum Deo potestate regnare volentibus, id (64) expreverunt, et se Deo	yes
646	1280	65	f. *martyrum notat passiones*.	Quod vero longo hæc tempore rubicunda efficitur, (65) martyrium notat passionis	yes
647	1281	66	F. *adornatur*.	cœlestibus martyriis (66) adornatum. Sequitur	yes
647	1282	67	F. *fragrant*.	Christum meruit confiteri. Hic (67) fragrascunt balsama, redolent pigmenta	yes
647	1282	68	F. *palma utriusque sexus hominibus indulta, præ cæteris se aliquid promeruisse intelligantur*.	ut martyrii (68) palmam in utriusque sexus hominibus multum præ cæteris se aliquid promeruisse intelligatur	yes
651	1289	69	F. *gressus*.	Femina vel femora quibus gradimur, et (69) egressus aptamus, hæc duo sunt	yes
651	1290	70	F. *vesper*.	transit et flos juventutis nostræ, transit et (70) vespere senectutis nostræ	yes
656	1300	71	F. suppl. *genus*	non timens carcerem, vincula non metuens, omne quod excogitari potest supplicii (71) libens in se suscipiens	yes
658	1304	72	F. *resuscitandum*.	cum ad (72) resurgendum omnes tuba lugubris insonuerit	yes
